"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","opp_formacao"
"1","América (MG)","2021",2,"dom","Em casa","Corinthians","4-4-1-1","D",-1,1,12,4,-0.266666666666667,-0.166666666666667,-1,0,-1,-17,4,9,0,4,-3,-2,-1,-1,0,"4-1-4-1"
"2","América (MG)","2021",4,"qui","Em casa","Cuiabá","4-1-4-1","E",0,0,14,12,-0.075,0,-3,0,0,0,-1,16,3,-1,0,0,0,0,0,"4--3-3"
"3","América (MG)","2021",6,"qui","Em casa","Juventude","4-2-3-1","E",0,0,8,4,-0.208333333333333,-0.0416666666666667,1,0,0,1,-1,20,-5,6,0,0,6,0,0,"4-2-3-1"
"4","América (MG)","2021",7,"dom","Em casa","Internacional","4-1-4-1","E",0,0,-19,3,0.161538461538462,-0.0230769230769231,-3,-0.166666666666667,0,-10,1,1,-1,-2,0,0,-1,0,0,"4--3-3"
"5","América (MG)","2021",9,"sáb","Em casa","Santos","4-2-2-2","V",2,-2,-44,-13,0.119047619047619,0.25,4,0.5,1,15,2,-24,6,8,3,4,1,0,0,"4-2-3-1"
"6","América (MG)","2021",11,"sáb","Em casa","Atlético Mineiro","3-4-1-2","D",-1,1,0,-1,-0.217948717948718,-0.0769230769230769,4,-0.166666666666667,-1,-1,2,16,-2,-2,-3,-2,0,0,0,"4--3-3"
"7","América (MG)","2021",12,"seg","Em casa","Sport Recife","3-4-1-2","D",-1,1,28,5,-0.267045454545455,-0.0909090909090909,2,-0.2,-1,-4,0,27,3,-6,-3,-2,-2,0,0,"4-2-3-1"
"8","América (MG)","2021",15,"dom","Em casa","Fluminense","4-2-3-1","V",1,-1,-11,8,0.180952380952381,0.0666666666666667,-5,0.142857142857143,1,9,0,-1,2,-7,3,2,0,0,0,"4-2-3-1"
"9","América (MG)","2021",17,"seg","Em casa","Bragantino","4-2-3-1","D",-2,2,0,4,-0.0857142857142857,-0.2,0,-0.666666666666667,-1,-2,0,14,-11,-8,-3,-4,2,0,0,"4-2-3-1"
"10","América (MG)","2021",18,"dom","Em casa","Ceará","4-2-3-1","V",2,-2,-24,13,-0.12280701754386,0.105263157894737,0,0.5,1,11,1,2,5,0,3,4,-1,0,0,"4-2-3-1"
"11","América (MG)","2021",20,"sáb","Em casa","Atl Paranaense","3-4-1-2","V",2,-2,10,20,0.0793650793650794,0.0740740740740741,-5,0.333333333333333,1,-5,2,9,-1,1,3,4,0,0,0,"4--4-2"
"12","América (MG)","2021",22,"dom","Em casa","Flamengo","4-2-3-1","E",0,0,-14,6,-0.422222222222222,-0.0444444444444444,3,0.3,0,-6,3,-2,0,9,0,0,0,0,0,"4--3-3"
"13","América (MG)","2021",24,"qua","Em casa","Palmeiras","4-2-3-1","V",1,-1,22,13,-0.134920634920635,0.00264550264550265,0,0,0,-5,-1,23,0,-5,3,2,-1,0.5,0,"3--4-3"
"14","América (MG)","2021",27,"sáb","Em casa","Bahia","4-2-3-1","E",0,0,8,2,0.102564102564103,0,-2,0,0,-20,1,6,5,-10,0,0,-1,0,0,"4-1-4-1"
"15","América (MG)","2021",29,"sáb","Em casa","Fortaleza","4-1-3-2","V",1,-1,-9,9,-0.0527950310559006,0.015527950310559,4,0.19047619047619,-1,-10,-2,2,-4,4,3,2,-4,0.5,0,"3-4-1-2"
"16","América (MG)","2021",32,"sáb","Em casa","Grêmio","4-1-4-1","V",2,-2,-18,3,0.166666666666667,0.138888888888889,2,0.0833333333333334,0,2,0,4,4,-4,3,4,1,0.333333333333333,0,"4-2-3-1"
"17","América (MG)","2021",33,"qua","Em casa","Atl Goianiense","4-1-4-1","E",0,0,16,12,-0.0988142292490118,0,-2,0.333333333333333,1,-8,1,-2,-1,-1,0,0,-2,0,0,"4-2-3-1"
"18","América (MG)","2021",35,"ter","Em casa","Chapecoense","4-2-3-1","V",3,-3,5,13,0.00434782608695655,0.130434782608696,-6,1.28571428571429,1,-3,0,4,1,6,3,6,0,0.333333333333333,0,"4-2-3-1"
"19","América (MG)","2021",38,"qui","Em casa","São Paulo","4-2-3-1","V",2,-2,-10,15,-0.289473684210526,0.105263157894737,1,1,1,-2,2,10,-3,12,3,4,-4,0,0,"3-4-1-2"
"20","Atl Goianiense","2020",2,"qua","Em casa","Flamengo","4-2-3-1","V",3,-3,-30,5,0.163461538461538,0.230769230769231,-4,0.428571428571429,1,-9,2,1,3,-1,3,6,-5,0,0,"4-2-3-1"
"21","Atl Goianiense","2020",3,"dom","Em casa","Sport Recife","4-2-3-1","E",0,0,-36,-6,0.0695187165775401,0.0320855614973262,0,0,0,-3,-3,-17,8,1,0,0,5,0,0,"4--3-3"
"22","Atl Goianiense","2020",6,"dom","Em casa","Ceará","4-2-3-1","D",-2,2,8,-1,-0.114285714285714,-0.133333333333333,1,-0.4,-1,11,-1,1,2,-3,-3,-4,4,0,0,"4-2-3-1"
"23","Atl Goianiense","2020",8,"dom","Em casa","Grêmio","4-2-3-1","E",0,0,-2,2,-0.0833333333333333,-0.0416666666666667,0,0,0,6,-2,-5,14,-4,0,0,-8,0,0,"4-2-3-1"
"24","Atl Goianiense","2020",11,"sáb","Em casa","Atlético Mineiro","4-2-3-1","D",-1,1,-12,1,-0.0428571428571429,-0.0857142857142857,-2,-0.0952380952380952,0,5,-3,-1,8,4,-3,-2,2,-0.25,0,"4--3-3"
"25","Atl Goianiense","2020",12,"dom","Em casa","Botafogo (RJ)","4-2-3-1","E",0,0,6,-6,-0.1125,0.0375,2,0.5,0,7,3,8,2,-2,0,0,-1,-1,0,"3--4-3"
"26","Atl Goianiense","2020",15,"dom","Em casa","Bragantino","4-2-3-1","V",1,-1,6,6,0.0568421052631579,0.0273684210526316,-3,0.05,0,-1,-2,6,-7,-4,3,2,0,0,0,"4-2-3-1"
"27","Atl Goianiense","2020",17,"sáb","Em casa","Atl Paranaense","4-2-3-1","E",0,0,-26,-6,-0.305555555555556,0.0277777777777778,5,0.833333333333333,0,-22,-1,-23,4,-5,0,0,8,0,0,"4--3-3"
"28","Atl Goianiense","2020",18,"dom","Em casa","Palmeiras","4-2-3-1","D",-3,3,13,8,-0.0833333333333333,-0.25,-1,-0.75,-1,-6,-2,4,-3,-6,-3,-6,-3,0,0,"4-2-3-1"
"29","Atl Goianiense","2020",20,"sáb","Em casa","Corinthians","4-2-3-1","E",0,0,-12,9,0.0666666666666667,-0.1,-4,0.2,0,-11,0,15,2,3,0,0,-1,-1,0,"4-2-3-1"
"30","Atl Goianiense","2020",23,"sáb","Em casa","Internacional","4-2-3-1","E",0,0,-16,-8,-0.352941176470588,0,4,1.25,0,2,1,-7,-8,-3,0,0,-8,0,0,"4-1-3-2"
"31","Atl Goianiense","2020",24,"seg","Em casa","Goiás","4-2-3-1","D",-1,1,36,1,-0.0227272727272727,-0.0909090909090909,-1,-0.5,-1,-9,2,31,5,0,-3,-2,0,0,0,"5--3-2"
"32","Atl Goianiense","2020",26,"qua","Em casa","Fluminense","4-2-3-1","V",1,-1,-22,8,-0.0153846153846154,-0.0461538461538462,-2,-0.25,0,-1,0,4,-5,5,3,2,-2,0.5,0,"4-1-4-1"
"33","Atl Goianiense","2020",28,"qui","Em casa","Vasco da Gama","4-2-3-1","E",0,0,-12,-7,0.1,0,4,0,0,6,0,-9,-3,2,0,0,1,0,0,"4-1-4-1"
"34","Atl Goianiense","2020",29,"dom","Em casa","Bahia","4-2-3-1","E",0,0,-15,-3,0.211538461538462,0.0144230769230769,-1,-0.05,0,9,2,5,-4,1,0,0,1,0,0,"4-1-4-1"
"35","Atl Goianiense","2020",32,"dom","Em casa","Fortaleza","4-2-3-1","V",2,-2,-10,-4,0.155844155844156,0.285714285714286,-1,1.5,1,-4,-2,-3,1,-4,3,4,-6,0.5,0,"4-2-3-1"
"36","Atl Goianiense","2020",33,"dom","Em casa","São Paulo","4-2-3-1","V",1,-1,-19,-2,0.0419580419580419,0.104895104895105,0,0.333333333333333,0,8,0,-4,-10,-2,3,2,2,0,0,"4--4-2"
"37","Atl Goianiense","2020",35,"sáb","Em casa","Santos","4-2-3-1","E",0,0,-38,-10,0.208333333333333,0.0694444444444444,0,0,0,8,-3,-41,-7,0,0,0,5,0,0,"4-2-3-1"
"38","Atl Goianiense","2020",38,"qui","Em casa","Coritiba","4-2-3-1","V",2,-2,12,9,0.277777777777778,0.0555555555555556,-6,-0.571428571428571,0,-2,0,1,-3,-3,3,4,-1,0,-0.333333333333333,"5--4-1"
"39","Atl Goianiense","2021",2,"sáb","Em casa","São Paulo","4-2-3-1","V",2,-2,-24,-4,0.213675213675214,0.222222222222222,-1,0.5,1,4,0,-26,-4,-1,3,4,-1,0,0,"3--5-2"
"40","Atl Goianiense","2021",4,"qui","Em casa","Fortaleza","4-2-3-1","E",0,0,12,4,-0.0888888888888889,0,0,0,0,8,-6,7,4,0,0,0,2,0,0,"3-4-1-2"
"41","Atl Goianiense","2021",6,"qua","Em casa","Fluminense","4-2-3-1","V",1,-1,0,6,-0.444444444444444,0.111111111111111,0,0.5,1,11,-4,-1,2,-1,3,2,0,0,0,"4-2-3-1"
"42","Atl Goianiense","2021",7,"seg","Em casa","Bragantino","4-2-3-1","D",-1,1,-16,0,-0.25,-0.0833333333333333,3,-0.2,-1,15,1,-9,-6,-11,-3,-2,0,0,0,"4-2-3-1"
"43","Atl Goianiense","2021",10,"qua","Em casa","Sport Recife","4--3-3","E",0,0,12,2,0.034965034965035,-0.013986013986014,-1,-0.0833333333333334,0,13,-1,-11,0,-1,0,0,3,0,0,"4-2-3-1"
"44","Atl Goianiense","2021",12,"dom","Em casa","Palmeiras","4-2-3-1","D",-3,3,16,-4,-0.309090909090909,-0.2,7,-0.375,-1,-16,1,-7,-14,2,-3,-6,1,0,0.333333333333333,"4-2-3-1"
"45","Atl Goianiense","2021",14,"dom","Em casa","América (MG)","4-2-3-1","E",0,0,4,-9,-0.0267857142857143,0.0803571428571428,3,0.3,0,14,0,-17,-3,-3,0,0,4,0,0,"3--4-3"
"46","Atl Goianiense","2021",17,"sáb","Em casa","Chapecoense","4--4-2","E",0,0,39,8,-0.125,-0.0625,0,0,0,-20,-2,1,-7,1,0,0,2,0,0,"4-2-3-1"
"47","Atl Goianiense","2021",18,"dom","Em casa","Internacional","4--4-2","E",0,0,4,1,-0.0535714285714285,0,1,0,0,-4,2,-1,-3,4,0,0,-1,0,0,"4-2-3-1"
"48","Atl Goianiense","2021",20,"dom","Em casa","Corinthians","4--4-2","E",0,0,3,3,0.204545454545455,-0.0340909090909091,-2,-0.25,0,0,0,-7,-1,-2,0,0,2,0,0,"4--5-1"
"49","Atl Goianiense","2021",22,"dom","Em casa","Cuiabá","4-2-3-1","E",0,0,14,10,-0.145833333333333,0,-1,0,0,-12,-1,14,-2,-4,0,0,-3,0,0,"4--4-2"
"50","Atl Goianiense","2021",24,"qua","Em casa","Atl Paranaense","4-2-3-1","D",-2,2,20,3,-0.133333333333333,-0.166666666666667,0,-0.25,-1,-8,1,10,-12,0,-3,-4,0,0,0,"3--4-3"
"51","Atl Goianiense","2021",27,"dom","Em casa","Atlético Mineiro","4-2-3-1","V",1,-1,-28,-13,0.308080808080808,0.176767676767677,-2,0.0666666666666667,0,3,0,-14,7,-1,3,2,1,0,0,"4-2-3-1"
"52","Atl Goianiense","2021",28,"seg","Em casa","Grêmio","4-2-3-1","V",2,-2,-8,-3,0.318181818181818,0.25,1,0.2,1,7,2,4,1,-1,3,4,1,0,0,"4-2-3-1"
"53","Atl Goianiense","2021",30,"ter","Em casa","Juventude","4-2-3-1","E",0,0,0,1,-0.185897435897436,-0.0064102564102564,-2,-0.375,0,4,1,1,7,-8,0,0,1,0,0,"4--4-2"
"54","Atl Goianiense","2021",32,"sáb","Em casa","Santos","4-2-3-1","E",0,0,30,-13,-0.0214285714285715,0,-4,1.6,1,8,-4,-4,-1,-3,0,0,-2,0,0,"3-4-1-2"
"55","Atl Goianiense","2021",34,"sáb","Em casa","Ceará","4-2-3-1","E",0,0,18,0,0.125,0,3,0.0555555555555555,0,-3,-1,7,-3,-2,0,0,3,0,0,"4-2-3-1"
"56","Atl Goianiense","2021",35,"seg","Em casa","Bahia","4-2-3-1","V",1,-1,-2,-1,-0.402777777777778,0.138888888888889,0,0.5,0,0,0,-14,-4,-3,3,2,-1,0.5,0,"4-2-3-1"
"57","Atl Goianiense","2021",38,"qui","Em casa","Flamengo","4--3-3","V",2,-2,2,-1,0.33625730994152,0.111111111111111,-1,0,0,2,-1,-11,1,0,3,4,-3,0,0,"3--4-3"
"58","Atl Paranaense","2019",1,"dom","Em casa","Vasco da Gama","4-2-3-1","V",3,-3,14,6,0.192857142857143,0.128571428571429,-7,0.133333333333333,0,-9,1,0,4,-2,3,6,0,0,-0.25,"3--5-2"
"59","Atl Paranaense","2019",4,"dom","Em casa","Bahia","4-1-4-1","V",1,-1,26,5,0.192307692307692,0.0555555555555556,-5,0.111111111111111,1,0,0,-5,5,-5,3,2,-1,0,0,"4-2-3-1"
"60","Atl Paranaense","2019",5,"dom","Em casa","Corinthians","4--4-2","D",-2,2,24,19,-0.282608695652174,-0.5,-3,-1,-1,10,2,23,2,6,-3,-4,-3,0,0,"4-2-3-1"
"61","Atl Paranaense","2019",7,"dom","Em casa","Fluminense","4-2-3-1","V",3,-3,12,7,0.152777777777778,0.1875,-3,0.6,1,6,1,14,9,5,3,6,-7,0,0,"4--3-3"
"62","Atl Paranaense","2019",10,"dom","Em casa","Internacional","4-2-3-1","V",1,-1,20,5,0.0196078431372549,0.0588235294117647,-2,0.166666666666667,1,-2,-1,8,-4,-6,3,2,0,0,0,"4-2-3-1"
"63","Atl Paranaense","2019",17,"sáb","Em casa","Ceará","4-2-3-1","V",1,-1,38,2,-0.191919191919192,0.0909090909090909,1,0.25,1,-2,-2,25,-9,-9,3,2,-2,0,0,"4-2-3-1"
"64","Atl Paranaense","2019",21,"qui","Em casa","Fortaleza","4-1-4-1","V",3,-3,30,9,0.177272727272727,0.109090909090909,-7,0.444444444444444,0,5,-1,9,-5,-9,3,6,3,-1,0,"4-2-3-1"
"65","Atl Paranaense","2019",27,"dom","Em casa","Palmeiras","4-2-3-1","E",0,0,4,6,0.178571428571429,-0.0535714285714286,-4,-0.333333333333333,0,24,-4,15,-5,-2,0,0,-1,0,0,"4-2-3-1"
"66","Atl Paranaense","2019",28,"dom","Em casa","Goiás","4--3-3","V",3,-3,36,17,0.380952380952381,0.0238095238095238,-13,-0.233333333333333,0,18,1,27,-2,-1,3,6,0,0,0,"4--3-3"
"67","Atl Paranaense","2019",37,"qua","Em casa","Santos","4-2-3-1","V",1,-1,2,0,0,0.111111111111111,0,0.333333333333333,1,13,-2,10,-6,-4,3,2,-8,0,0,"4--3-3"
"68","Atl Paranaense","2020",2,"qua","Em casa","Goiás","4--3-3","V",1,-1,57,6,-0.0202429149797571,0.0283400809716599,-2,0.5,0,-4,0,7,0,-4,3,2,0,-1,0,"4--4-2"
"69","Atl Paranaense","2020",4,"qua","Em casa","Palmeiras","4--3-3","D",-1,1,12,-4,-0.3,-0.1,3,0.666666666666667,-1,-1,-3,-6,2,-4,-3,-2,5,0,0,"4-2-3-1"
"70","Atl Paranaense","2020",5,"sáb","Em casa","Fluminense","4--3-3","D",-1,1,30,3,-0.0064935064935065,-0.0909090909090909,-2,-0.333333333333333,-1,19,-1,26,0,-3,-3,-2,1,0,1,"4-2-3-1"
"71","Atl Paranaense","2020",7,"qua","Em casa","Bragantino","4-2-3-1","E",0,0,16,-6,0.333333333333333,0.0277777777777778,-2,-0.133333333333333,0,5,2,-7,-6,0,0,0,0,0,0,"4-2-3-1"
"72","Atl Paranaense","2020",9,"qua","Em casa","Botafogo (RJ)","4-1-4-1","E",0,0,22,5,-0.323529411764706,-0.0245098039215686,1,0.333333333333333,0,18,1,0,2,-4,0,0,1,-1,0,"3--4-3"
"73","Atl Paranaense","2020",10,"sáb","Em casa","Coritiba","4--4-2","V",1,-1,-14,5,0,0.1,-1,0.5,1,19,-1,0,-1,-2,3,2,-3,0,0,"4-2-3-1"
"74","Atl Paranaense","2020",12,"sáb","Em casa","Bahia","4--3-3","V",1,-1,11,-1,0.021978021978022,0.0769230769230769,-2,0.75,1,17,-2,-9,-1,5,3,2,3,0,0,"4--4-2"
"75","Atl Paranaense","2020",14,"qui","Em casa","Ceará","4--3-3","E",0,0,23,1,-0.164835164835165,0,3,0,0,-3,0,11,-4,2,0,0,1,0,0,"4-2-3-1"
"76","Atl Paranaense","2020",16,"qua","Em casa","Corinthians","4-2-3-1","D",-1,1,22,3,0.100961538461538,-0.0769230769230769,-3,-0.166666666666667,-1,9,0,8,-1,-4,-3,-2,-5,0,0,"4--3-3"
"77","Atl Paranaense","2020",18,"dom","Em casa","Grêmio","4-2-3-1","D",-1,1,30,-3,-0.05,-0.05,2,0.333333333333333,0,8,0,-3,-4,-1,-3,-2,2,0,0.5,"4-2-3-1"
"78","Atl Paranaense","2020",20,"sáb","Em casa","Fortaleza","4-2-3-1","V",1,-1,26,9,-0.130952380952381,0.0119047619047619,-3,0,0,12,-2,29,1,-4,3,2,0,0,0,"4--4-2"
"79","Atl Paranaense","2020",22,"sáb","Em casa","Santos","4--4-2","V",1,-1,20,7,-0.358974358974359,0.0769230769230769,0,0.25,1,17,1,2,-12,1,3,2,-2,0,0,"4-2-3-1"
"80","Atl Paranaense","2020",25,"sáb","Em casa","Atlético Mineiro","4--3-3","D",-1,1,-14,6,-0.0695187165775401,-0.0909090909090909,-4,0,-1,14,0,0,4,-1,-3,-2,0,0,0,"4-2-3-1"
"81","Atl Paranaense","2020",27,"dom","Em casa","Vasco da Gama","4--4-2","V",3,-3,12,4,0.0833333333333333,0.1875,-3,0.175,1,7,-1,-7,-2,3,3,6,-1,0,0,"4-2-3-1"
"82","Atl Paranaense","2020",30,"dom","Em casa","São Paulo","4-2-3-1","E",0,0,-18,-1,0.152777777777778,0.0138888888888889,-1,-0.166666666666667,0,-9,-8,-9,-13,4,0,0,1,0,0,"4--4-2"
"83","Atl Paranaense","2020",32,"dom","Em casa","Flamengo","4-1-4-1","V",1,-1,-18,-1,0.560606060606061,0.0984848484848485,-6,-0.25,0,20,3,-9,2,-1,3,2,2,0,0,"4--4-2"
"84","Atl Paranaense","2020",34,"qui","Em casa","Internacional","4--4-2","E",0,0,38,8,0.107692307692308,0,-3,0,0,-12,1,5,-3,8,0,0,1,0,0,"4-1-4-1"
"85","Atl Paranaense","2020",36,"dom","Em casa","Atl Goianiense","4-2-3-1","V",1,-1,20,-3,0.0113636363636364,0.159090909090909,1,0.416666666666667,0,10,1,3,-3,-4,3,2,1,0,0,"4-2-3-1"
"86","Atl Paranaense","2020",38,"qui","Em casa","Sport Recife","4-2-2-2","V",2,-2,12,3,0.177777777777778,0.111111111111111,-4,0.25,1,11,0,-11,-10,7,3,4,-1,0,0,"5--4-1"
"87","Atl Paranaense","2021",1,"dom","Em casa","América (MG)","4-2-3-1","V",1,-1,12,-3,0.168831168831169,0.0909090909090909,-1,0.2,1,18,0,2,-12,-1,3,2,-1,0,0,"4-1-4-1"
"88","Atl Paranaense","2021",4,"ter","Em casa","Flamengo","3--4-3","E",0,0,14,8,-0.223443223443223,-0.0586080586080586,1,0.0666666666666667,0,-14,3,17,8,2,0,0,2,0,0,"4--4-2"
"89","Atl Paranaense","2021",5,"dom","Em casa","Atl Goianiense","5--4-1","V",1,-1,-2,2,-0.05,0.0666666666666667,0,0.333333333333333,0,4,1,13,0,5,3,2,0,0,0,"4-2-3-1"
"90","Atl Paranaense","2021",7,"dom","Em casa","Chapecoense","5--4-1","E",0,0,22,6,-0.138888888888889,-0.0555555555555556,0,0,0,-7,-2,-3,-1,0,0,0,0,0,0,"3--4-3"
"91","Atl Paranaense","2021",9,"sáb","Em casa","Fortaleza","4-2-3-1","V",1,-1,-18,1,0.233333333333333,0.0583333333333333,-4,0,0,8,3,-16,3,0,3,2,0,0,0,"3--4-3"
"92","Atl Paranaense","2021",11,"sáb","Em casa","Bragantino","4-2-3-1","E",0,0,8,6,0.0227272727272727,-0.0340909090909091,-2,-0.166666666666667,0,4,-3,-1,4,1,0,0,-4,0,0,"4-2-3-1"
"93","Atl Paranaense","2021",13,"dom","Em casa","Internacional","4-2-3-1","V",1,-1,4,-2,0.132867132867133,0.104895104895105,-2,0.5,0,-1,1,-1,5,6,3,2,1,-1,0,"4-1-4-1"
"94","Atl Paranaense","2021",15,"sáb","Em casa","São Paulo","4-2-3-1","D",-1,1,2,4,0.0363636363636364,-0.115151515151515,-3,-0.166666666666667,0,-7,-1,10,7,0,-3,-2,-6,-0.5,0,"4-2-3-1"
"95","Atl Paranaense","2021",17,"dom","Em casa","Corinthians","4-2-3-1","D",-1,1,-12,8,0,-0.125,-2,-0.5,-1,7,0,2,5,6,-3,-2,6,0,0,"4-2-3-1"
"96","Atl Paranaense","2021",19,"dom","Em casa","Sport Recife","4-2-3-1","E",0,0,16,7,-0.0347222222222222,0,-1,0,0,2,-1,27,-1,11,0,0,-7,0,0,"4-2-3-1"
"97","Atl Paranaense","2021",21,"sáb","Em casa","Juventude","3--4-3","V",1,-1,19,12,0.0592592592592592,0.0074074074074074,-3,0.2,0,23,0,24,-3,-3,3,2,-1,-0.5,0,"4-2-3-1"
"98","Atl Paranaense","2021",22,"dom","Em casa","Grêmio","3--4-3","V",2,-2,8,1,-0.154166666666667,0.116666666666667,2,0.514285714285714,0,-2,0,3,-2,4,3,4,-4,0,0,"4-2-3-1"
"99","Atl Paranaense","2021",25,"sáb","Em casa","Bahia","3--4-3","D",-2,2,18,8,-0.3125,-0.25,1,-0.5,-1,10,1,24,0,-2,-3,-4,-1,0,0,"4-2-3-1"
"100","Atl Paranaense","2021",27,"dom","Em casa","Fluminense","3--4-3","D",-1,1,4,10,0.0416666666666667,-0.166666666666667,-3,-0.333333333333333,-1,15,-1,19,9,6,-3,-2,1,0,1,"4-2-3-1"
"101","Atl Paranaense","2021",29,"sáb","Em casa","Santos","3--4-3","D",-1,1,34,-5,-0.166666666666667,-0.125,-3,0,0,-3,0,4,3,-8,-3,-2,-3,0,0,"3--4-3"
"102","Atl Paranaense","2021",31,"qua","Em casa","Ceará","3--4-3","V",1,-1,4,0,-0.166666666666667,0.0833333333333333,1,0.0833333333333334,-1,0,2,16,7,-6,3,2,0,-1,0,"4-2-3-1"
"103","Atl Paranaense","2021",33,"ter","Em casa","Atlético Mineiro","3--5-2","D",-1,1,-12,-1,-0.318181818181818,-0.0833333333333333,1,0,0,0,-1,-5,-5,5,-3,-2,2,0,0,"4-2-2-2"
"104","Atl Paranaense","2021",35,"sex","Em casa","Cuiabá","3--4-3","V",1,-1,29,4,0.458333333333333,0.0833333333333333,6,0,0,-6,-2,-1,-2,6,3,2,-12,0,0,"4-1-4-1"
"105","Atl Paranaense","2021",37,"seg","Em casa","Palmeiras","3--4-3","E",0,0,43,-11,0.0394736842105263,0,-1,-0.166666666666667,0,-9,4,-21,0,2,0,0,9,0,0,"3--4-3"
"106","Atlético Mineiro","2019",1,"sáb","Em casa","Avaí","4-2-3-1","V",1,-1,20,4,-0.012987012987013,0.038961038961039,-1,-0.5,0,-12,-2,3,-3,2,3,2,-1,0.5,0,"4-1-4-1"
"107","Atlético Mineiro","2019",5,"sáb","Em casa","Flamengo","4-2-3-1","V",1,-1,-32,-13,0.0378787878787878,0.140151515151515,5,0.3,0,6,0,-24,1,-9,3,2,7,0,0,"4-2-3-1"
"108","Atlético Mineiro","2019",7,"dom","Em casa","CSA","4-2-3-1","V",4,-4,42,15,0.259259259259259,0.148148148148148,-6,-0.5,1,-17,2,6,-3,1,3,8,-3,0.25,0,"4-2-3-1"
"109","Atlético Mineiro","2019",9,"qui","Em casa","São Paulo","4-2-3-1","E",0,0,38,11,0.0666666666666667,-0.0611111111111111,-5,-0.208333333333333,0,-9,1,4,-1,3,0,0,-2,0,0,"4-2-3-1"
"110","Atlético Mineiro","2019",11,"dom","Em casa","Fortaleza","4-2-3-1","E",0,0,4,8,0.00478468899521528,-0.076555023923445,0,-0.666666666666667,0,4,0,-3,-1,4,0,0,-3,0,-0.5,"4-2-3-1"
"111","Atlético Mineiro","2019",13,"dom","Em casa","Cruzeiro","4-2-3-1","V",2,-2,-24,2,0.0923076923076923,0.133333333333333,-2,0.333333333333333,1,13,-2,-5,-6,3,3,4,-1,0,0,"4-2-3-1"
"112","Atlético Mineiro","2019",14,"sáb","Em casa","Fluminense","4-2-3-1","V",1,-1,-18,-1,0.173684210526316,0.0552631578947368,-3,0.0555555555555556,0,4,2,-13,-1,8,3,2,-5,0,0,"4-1-4-1"
"113","Atlético Mineiro","2019",16,"sáb","Em casa","Bahia","4-2-3-1","D",-1,1,14,14,-0.483333333333333,-0.166666666666667,-2,-0.2,-1,2,1,16,-4,2,-3,-2,-2,0,0,"4--3-3"
"114","Atlético Mineiro","2019",19,"dom","Em casa","Internacional","4-1-4-1","D",-2,2,22,10,-0.16,-0.16,-2,-0.242424242424242,0,-16,-1,26,-2,-6,-3,-4,-1,0,0,"4-2-3-1"
"115","Atlético Mineiro","2019",21,"qua","Em casa","Vasco da Gama","4-2-3-1","D",-1,1,8,-2,-0.0982142857142857,-0.0535714285714286,1,0.0833333333333334,0,-7,-1,-6,-2,1,-3,-2,1,-0.5,0,"4--4-2"
"116","Atlético Mineiro","2019",22,"dom","Em casa","Ceará","4-1-4-1","V",1,-1,24,16,0.125,-0.0416666666666667,-6,-0.666666666666667,0,3,-1,13,4,1,3,2,-2,-1,0,"4-2-3-1"
"117","Atlético Mineiro","2019",25,"dom","Em casa","Grêmio","4-2-3-1","D",-3,3,-14,8,-0.194139194139194,-0.26007326007326,2,-0.6,0,17,-2,2,-6,3,-3,-6,8,0.75,0,"4-2-3-1"
"118","Atlético Mineiro","2019",27,"dom","Em casa","Santos","4-1-4-1","V",2,-2,-38,-3,0.361111111111111,0.222222222222222,-3,0.5,1,19,0,-10,-1,2,3,4,-1,0,0,"4--3-3"
"119","Atlético Mineiro","2019",29,"qua","Em casa","Chapecoense","4-1-4-1","D",-2,2,42,10,-0.25,-0.2,3,0.333333333333333,-1,9,2,36,1,1,-3,-4,0,0,0,"4-1-4-1"
"120","Atlético Mineiro","2019",31,"qua","Em casa","Goiás","4-1-4-1","V",2,-2,4,19,-0.00549450549450547,0.0769230769230769,-8,0.181818181818182,1,-1,3,-3,-4,4,3,4,-2,0,0,"4-2-3-1"
"121","Atlético Mineiro","2019",36,"dom","Em casa","Corinthians","4-2-3-1","V",1,-1,-18,1,0.335164835164835,0.0659340659340659,-4,-0.125,0,14,-1,-6,-1,5,3,2,1,0.5,0,"4-1-4-1"
"122","Atlético Mineiro","2019",37,"qua","Em casa","Botafogo (RJ)","4-2-3-1","V",2,-2,-4,14,-0.165242165242165,0.0740740740740741,-2,0.25,1,2,1,-8,5,-3,3,4,-2,0,0,"4-2-3-1"
"123","Atlético Mineiro","2020",2,"qua","Em casa","Corinthians","3--5-2","V",1,-1,11,19,-0.175824175824176,-0.17032967032967,-9,-0.269230769230769,0,15,2,19,-2,2,3,2,-1,0,0,"4-2-3-1"
"124","Atlético Mineiro","2020",3,"dom","Em casa","Ceará","4-2-3-1","V",2,-2,22,-2,0.428571428571429,0.166666666666667,-3,0.25,1,-1,1,12,-7,-1,3,4,-2,0.5,0,"4-2-3-1"
"125","Atlético Mineiro","2020",6,"qua","Em casa","Atl Paranaense","4-2-3-1","D",-2,2,28,12,-0.327272727272727,-0.2,0,-0.333333333333333,-1,-31,0,21,12,-3,-3,-4,0,0,0,"4--4-2"
